翻訳ID,日本語,英語,中国語（簡体字）,韓国語
キャラクター名,,,,
ジョバンニ,ジョバンニ,Джованни,乔班尼,조반니
ジョバンニ・スタイラス,ジョバンニ・スタイラス,Джованни Стилус,乔班尼·斯泰拉斯,조반니 스타일러스
エーミール,エーミール,Эмиль,埃米尔,에밀
NEWSbot,NEWSbot,NEWSBOT,NEWSbot,뉴스봇
ザネリ,ザネリ,Занелли,札内利,자넬리
R・カレルレン,R・カレルレン,Р. Кареллен,R·卡列伦,R-카렐렌
クラーク総合病院,クラーク総合病院,Больница «Кларк»,克拉克综合医院,클라크 종합병원
ハンドラー,ハンドラー,Куратор,Handler,핸들러
車掌,車掌,Проводник,乘务员,차장
モーリアン・アニメチャンネル,ビスケイティア・スタジオ・チャンネル,Студийная сеть «Вискадия»,香甜脆饼演播频道,비스케이티어 스튜디오 채널
イエハトブ,イエハトブ,Ихатов,伊哈托夫,예하토브
イエハトブ・スタイラス,イエハトブ・スタイラス,Ихатов Стилус,伊哈托夫·斯泰拉斯,예하토브 스타일러스
カムパネルラ,カムパネルラ,Кампанелла,康帕聂拉,캄파넬라
モーリィ,モーリィ,Молли,莫莉,몰리
モーリィ・リース,モーリィ・リース,Молли Рейсс,莫莉·莉斯,몰리 리스
フィル・オブライエン,フィル・オブライエン,Фил О'Брайен,菲尔·奥布赖恩,필 오브라이언
母さん,母さん,Мама,妈妈,엄마
バリー,バリー,Барри,巴里,배리
マーク,マーク,Марк,马克,마크
ユミ,ユミ,Юми,由美,유미
ドク,ドク,Док,大夫,독
ラビ,ラビ,Раби,拉比,라비
ケイト,ケイト,Кейт,凯特,케이트
ベン,ベン,Бен,班恩,벤
ベンジャミン・リース,ベンジャミン・リース,Бенджамин Рейсс,班杰明·莉斯,벤자민 리스
ゼロデイ,ゼロデイ,Нулевой День,零日,Zero Day
スニファー,スニファー,Сниффер,小闻,스니퍼
ガム・シルクハット,ガム・シルクハット,Гамм Силькхэт,大礼帽伽姆,검 실크해트
ピスタチオ・カーペンター,ピスタチオ・カーペンター,Пистачио Карпентер,木匠比思答,피스타치오 카펜터
チョコレート・バニー,チョコレート・バニー,Шоко МакБанни,小兔子朱古丽,초콜릿 바니
キャンディ・ビタミン,キャンディ・ビタミン,Кэнди Витамин,维生素坎蒂,캔디 비타민
◾︎◾︎◾︎,◾︎◾︎◾︎,◾︎◾︎◾︎,◾︎◾︎◾︎,◾︎◾︎◾︎
Wi,Wi,Ви,Wi,Wi
■□■■,■□■■,■□■■,■□■■,■□■■
セシル・マルソ,セシル・マルソ,Сесил Марсо,塞西尔·玛尔索,세실 마르소
シャルル・マルソ,シャルル・マルソ,Шарль Марсо,查尔斯·玛尔索,샤를 마르소
ヒルデ・ヴァイツ,ヒルデ・ヴァイツ,Хильда Вайц,希尔德·拜茨,힐데 바이츠
カルロ・パニッツィ,カルロ・パニッツィ,Карло Паницци,卡罗·帕尼齐,카를로 파니치
,,,,
投稿者名,,,,
＊,＊,*,＊,＊
AI,AI,ИИ,AI,AI
カムパネルラ担,カムパネルラ担,Фанат Кампанеллы,康帕聂拉担,캄파넬라 담당
＊＠ネルさま,＊＠ネルさま,*@NellaLover,＊＠永爱聂殿,＊＠넬님
譲）エーミール　求）カムパネルラ,譲）エーミール　求）カムパネルラ,Обменяю Эмиля на Кампанеллу,出）埃米尔 求）康帕聂拉,공)에밀 수)캄파넬라
カメラマン・ジョニー,カメラマン・ジョニー,Оператор Джонни,摄影师乔尼,카메라맨 조니
リア恋地雷,リア恋地雷,Не Такой Уж Чокнутый,real恋滚粗,현실연애 지뢰계
＊＠カムエミシンメ,＊＠カムエミシンメ,*@CamEmiBestBoys,＊＠左右相对康埃好配,＊＠캄에밀장면모음
＊＠エミ推し,＊＠エミ推し,*@emi4life,＊＠埃米推,＊＠에밀P
＊＠生もの地雷,＊＠生もの地雷,*@FictionOnly,＊＠真人CP地雷,＊＠라이브지뢰계
ネル様のグッズを買ってください,ネル様のグッズを買ってください,купите пж мерч Неллы,支持聂殿新谷走过路过不要错过,넬님 상품 구매요망
エーミール担,エーミール担,Фанат Эмиля,埃米尔担,에밀 담당
カトウ,カトウ,Като,加托,카토
名無し2.4.5,名無し2.4.5,Anonymous 2.4.5,无名氏2.4.5,무명 2.4.5
,,,,
PC画面,,,,
やめておく,やめておく,Quit,还是算了,그만둔다
名前,名前,Name,姓名,이름
性別,性別,Gender,性别,성별
学年,学年,Year,学年,학년
住所,住所,Address,地址,주소
人間スコア,人間スコア,Human Score,人类评分,인간 스코어
所持金,所持金,Money,账户余额,소지금
データを入手しました,データを入手しました,Obtained data,获取数据,데이터를 획득했습니다
フォト,フォト,Photos,照片,사진
上の階層に戻る,上の階層に戻る,Back,返回上一级,상위 계층으로 이동
映像記録,映像記録,Observe-R Data,影像记录,영상 기록
PCを閉じる,PCを閉じる,Exit PC,关闭电脑,PC를 닫는다
ロード,ロード,Load,读取,불러오기
タイトルに戻る,タイトルに戻る,Return to Title,返回标题界面,타이틀로 돌아간다
ゴミ箱,ゴミ箱,Recycle Bin,回收站,휴지통
入手リスト,入手リスト,My Lists,持有列表,입수 목록
R-ticket,R-ticket,R-ticket,R-ticket,R-ticket
テキスト,テキスト,Text,文档,텍스트
思い出,思い出,To Keep,回忆,기억
オーディオ,オーディオ,Audio,音频,오디오
メッセージ,メッセージ,Messenger,消息,메시지
フレンド一覧,フレンド一覧,Friend List,好友列表,친구 목록
学内SNS,学内SNS,School Network,校内SNS,교내 SNS
閲覧権限がありません,閲覧権限がありません,You do not have permission to view.,您没有权限浏览,열람 권한이 없습니다
書き込み権限がありません,書き込み権限がありません,You do not have permission to post.,您没有权限留言,쓰기 원한이 없습니다
ID／パスワードを入力してください,ID／パスワードを入力してください,Enter your ID and password.,请输入账号密码,ID/패스워드를 입력하세요
パスワードが違います,パスワードが違います,Incorrect password.,密码错误,패스워드가 올바르지 않습니다
ようこそ ハンドラーさま,ようこそ ハンドラーさま,"Welcome, Handler.",欢迎您 Handler,"어서 오십시오, 핸들러 님"
送信する,送信する,Send,发送,보낸다
これにする,これにする,Select,确定,이걸로 정한다
クリックで拡大,＋クリックで拡大,Click to Expand,＋点击查看大图,클릭하여 확대
ここから未読です,…………… ここから未読です ……………,--Unread Messages Below--,…………… 以下是未读消息 ……………,……………읽지 않은 메시지……………
OK,OK,OK,OK,OK
現在の持ち物,◆現在の持ち物  …………………………………,◆Inventory  .......................................,◆当前持有物品  …………………………………,◆현재 소지품 …………………………………
R-codeリスト,◆R-codeリスト …………………………………,◆R-codes List  .......................................,◆R-codes列表 …………………………………,◆R-codes 목록 …………………………………
R-codeを入手,R-codeを入手,R-code Obtained,获得R-code,R-codes 획득
アイテムを入手,アイテムを入手,Item Obtained,获得物品,아이템 획득
ダウンロード,ダウンロード,Download,下载,다운로드
画像を送信しました,画像を送信しました,Image has been sent.,[图片],영상을 보냈습니다
スタンプを送信しました,スタンプを送信しました,Sticker has been sent.,[表情],스탬프를 보냈습니다
R-codeをクリックしてください,R-codeをクリックしてください,Please click on the R-code.,请点击R-code,R-codes를 클릭하세요
自分のPCへ戻る,自分のPCへ戻る,Return to Your PC,返回个人电脑,내 PC로 돌아간다
PC,PC,PC,电脑,PC
デスクトップ,デスクトップ,Desktop,桌面,데스크톱
ドキュメント,ドキュメント,Documents,文档,문서
TODOを更新しました,TODOを更新しました,Your TO DO has been updated.,已更新待办事项。,TODO 내용을 갱신했습니다
ダークウェブ,ダークウェブ,dark-web,暗网,다크웹
イデアル・ハック,イデアル・ハック,Ideal Hack,理想骇解,아이디얼 해킹
課題提出用,課題提出用,Submit Assignment,上交课题用,과제 제출용
クイックセーブ,クイックセーブ,Quicksave,快速存档,빠른 저장
クイックロード,クイックロード,Quickload,快速读档,빠른 불러오기
チャプターロード,チャプターロード,Load Chapter,读取章节,챕터 불러오기
メモリーを保存しました,メモリーを保存しました,Data has been saved successfully.,记忆已保存,메모리를 보존했습니다
オートセーブしました,オートセーブしました,Auto-save complete.,已自动存档,자동 저장을 완료했습니다
セーブしました,セーブしました,Game saved,已保存,저장하였습니다.
セーブしますか？,セーブしますか？\n（最新のセーブデータが上書きされます）,Save game?\n(This will overwrite the latest save.),是否保存游戏进度？\n（将覆盖最新的存档）,저장하시겠습니까?\n(최근에 저장한 데이터로 덮어씁니다)
ロードしますか？,ロードしますか？\n（最新のセーブデータをロードします）,Load game?\n(This will load the latest save.),是否读取游戏进度？\n（将加载最新的存档）,불러오시겠습니까?\n(최근에 저장한 데이터를 불러옵니다)
パスワード入力,パスワード入力,Enter password,输入密码,패스워드 입력
区画内SNS,区画内SNS,District Network,同区SNS,구획 내 SNS
仕事,仕事,Jobster,工作,업무
,,,,
PC画面_ファイル名,,,,
父より.txt,父より.txt,To My Son.txt,爸爸的信.txt,아버지가.txt
エーミールの歌,エーミールの歌,Emile's Song,埃米尔的歌,에밀의 노래
記念写真_0224_ママより.jpg,記念写真_0224_ママより.jpg,group_pic_0224(from mom).jpg,纪念照_0224_妈妈.jpg,기념사진_0224_엄마가.jpg
入学許可証.txt,入学許可証.txt,Letter of Acceptance.txt,入学许可证.txt,입학허가증.txt
下層居住区0420_近所.jpg,下層居住区0420_近所.jpg,lowerdistrict_0420.jpg,下层居住区0420_附近.jpg,하층거주구0420_근처.jpg
下層居住区1005_秘密基地_完成.jpg,下層居住区1005_秘密基地_完成.jpg,lowerdistrict_hideout_finished_1005.jpg,下层居住区1005_秘密基地_完成.jpg,하층거주구1005_비밀기지_완성.jpg
自宅_誕生日.jpg,自宅_誕生日.jpg,birthday_at_home.jpg,家_生日记录.jpg,자택_생일.jpg
下層居住区0625_秘密基地跡地.jpg,下層居住区0625_秘密基地跡地.jpg,lowerdistrict_hideout_ruin_0625.jpg,下层居住区0625_秘密基地遗迹.jpg,하층거주구0625_비밀기지위치.jpg
下層居住区0625_自宅跡地.jpg,下層居住区0625_自宅跡地.jpg,lowerdistrict_home_ruin_0625.jpg,下层居住区0625_家遗迹.jpg,하층거주구0625_자택위치.jpg
下層居住区0625_近所.jpg,下層居住区0625_近所.jpg,lowerdistrict_0625.jpg,下层居住区0625_附近.jpg,하층거주구0625_근처.jpg
イデアル・ハック.exe,イデアル・ハック.exe,Ideal_Hack.exe,理想骇解.exe,아이디얼 해킹.exe
父より（続き）.txt,父より（続き）.txt,To My Son 2.txt,爸爸的信（续）.txt,아버지가(추신).txt
操作説明.txt,操作説明.txt,Operation_Manual.txt,操作说明.txt,조작설명.txt
学園0416_トーシア_図書館.jpg,学園0416_トーシア_図書館.jpg,School_4-16_Tosia_Library.jpg,学园0416_托西娅_图书馆.jpg,학교0416_토시아_도서관.jpg
学園0521_トーシア_カフェ.jpg,学園0521_トーシア_カフェ.jpg,School_5-21_Tosia_Cafe.jpg,学园0521_托西娅_咖啡馆.jpg,학교0521_토시아_카페.jpg
学園0701_フィル_部屋.jpg,学園0701_フィル_部屋.jpg,School_7-1_Phil_Room.jpg,学园0701_菲尔_房间.jpg,학교0701_필_방.jpg
学園0916_フィル_部屋2.jpg,学園0916_フィル_部屋2.jpg,School_9-16_Phil_Room2.jpg,学园0916_菲尔_房间2.jpg,학교0916_필_방2.jpg
ジョバンニ生誕！.jpg,ジョバンニ生誕！.jpg,HBD Giovanni!.jpg,乔班尼生日！.jpg,조반니 태어나다!.jpg
星図.png,星図.png,Star Chart.png,星图.png,성계지도.png
42,42,42,42,42
ミニゲームフォルダ,DaveGames,DaveGames,DaveGames,DaveGames
ミニゲーム_1,DAVE'S QUICK DRAW,DAVE'S QUICK DRAW,戴维的快枪决斗,DAVE'S QUICK DRAW
ミニゲーム_2,DAVE'S ADVENTURE,DAVE'S ADVENTURE,戴维林中大冒险,DAVE'S ADVENTURE
デコイ画像,Cicada 3301,Cicada 3301,Cicada 3301,Cicada 3301
家族,家族,Family,家人,가족
趣味,趣味,My Stuff,爱好,취미
大事,大事,Important,重要,중요 자료
1233_06_12_マルソ15歳誕生日.png,1233_06_12_セシル15歳誕生日.png,1233_06_12_Cecil's15thBDay.png,1233_06_12_塞西尔15岁生日.png,1233_06_12_세실_15세_생일.png
1223_11_04_家族写真.png,1223_11_04_家族写真.png,1223_11_04_familyphoto.png,1223_11_04_全家福.png,1223_11_04_가족사진.png
予定メモ.txt,予定メモ.txt,Schedule.txt,安排.txt,예정_메모.txt
