ページ番号,役職_日本語,正式名称_日本語,役職_英語,正式名称_英語
1,プロデューサー/編集,さいとーだいち,Producer/Editor,Daichi Saito
1,ディレクター、シナリオライター,飛田史織,Director/Scenario Writer,Shiori Tobita
1,アシスタントディレクター、謎解き,兎谷あおい,Assistant Director,Togai Aoi
1,アートディレクター,いも,Art Director,Imo
1,プロジェクトマネージャー,みささぎかなめ,Project Manager,MisasagiKaname
2,グラフィックス,学世 初,Graphics,Manase Ui
2,,旨味まづ,,Umami Mazu
2,,まいきち,,Maikichi
2,,みと,,mito
2,,ガラムマサラ,,Garammasala
2,,aoz,,aoz
2,UIデザイン/タイトルロゴデザイン,mochi,UI Design/Title Logo Design,mochi
3,システム,蔦森くいな,System,Kuina Tsutamori
3,,HIJIKI,,HIJIKI
3,,堀井ほりん,,Horin Horii
3,,山田太郎義貞,,YamadaTaroYoshisada
3,,たつとり,,Tatsutori
3,,くらむぼん,,krmbn0576
3,,すずみはら,,SUZUMIHARA
3,システムアシスタント,dechi,System Assistants,dechi
3,,りん,,rin
4,動画制作,カツサダ,Movie,KATUSADA
4,サウンドディレクター,まろん (IOSYS),Sound Director,MARON (IOSYS)
4,マスタリング,uno (IOSYS),Mastering,uno (IOSYS)
4,BGM,teknizer,BGM,teknizer
4,,ちよ,,Tiyo Nanashino
4,,DYES IWASAKI(FAKE TYPE.),,DYES IWASAKI(FAKE TYPE.)
4,,Tsubusare BOZZ,,Tsubusare BOZZ
4,,ああああ,,AAAA
4,,RD-Sounds,,RD-Sounds
4,,Aiobahn +81,,Aiobahn +81
4,,チアキ,,Chiaki
4,Sound Designer,ZetsuP,Sound Designer,ZetsuP
5,翻訳,合同会社DRAGONBABY,Localization,DRAGONBABY LLC.
5,ローカライズ統括,Sam Burton,Head of Localization,Sam Burton
5,プロジェクトマネージャー,Michael Rosiles,Project Manager,Michael Rosiles
5,LQAプロジェクトマネージャー,Toshiyuki Kato,LQA Project Manager,Toshiyuki Kato
5,オペレーション,Joe Dart,Operations,Joe Dart
5,ローカライズサポート,Jeremy Blaustein,Localization Support,Jeremy Blaustein
5,リード英語翻訳者,Andrew Kiya,English Localization Lead,Andrew Kiya
5,英語翻訳者,Betsy Linehan-Skillings,English Localization,Betsy Linehan-Skillings
5,英語翻訳者,Mimi Wang,English Localization,Mimi Wang
5,韓国語翻訳者,Seong Kim,Korean Localization,Seong Kim
5,簡体字翻訳者,Dai Feng,Simplified Chinese Localization,Dai Feng
6,PV制作,三重の人,Promotion Movie,Mienohito
6,パズル＆ミニゲームデザイン,高柳優（マサルさん）,Puzzle Creater/Mini-Game Design,TAKAYANAGI Masaru（Masaru-san）
6,プロモーション,リュウズオフィス,Promotion,RYU'S OFFICE
6,スペシャルサンクス,お茶煮,Special Thanks,tea_basira
6,スペシャルサンクス,びぶ,Special Thanks,viv
6,スペシャルサンクス,ココロテン,Special Thanks,Kokoroten
6,スペシャルサンクス,徳岡正肇（アトリエサード）,Mentor,Masatoshi Tokuoka (Atelier THiRD)
6,スペシャルサンクス,伊豫田旭彦,Mentor,akihiko iyoda
6,,,,
6,制作,WSS playground,,WSS playground
