担当者名,蔦森くいな,HIJIKI,かいだこ,堀井ほりん,山田太郎義貞,くらむぼん
更新日,2025/04/01/13:24,,,2025/03/31/22:18,,
1,■↓共通定義用↓■,,,■↓共通定義用↓■,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,プレイヤー移動禁止,,,プレイヤー移動禁止,,
22,【QTE】イベント開始,,,【QTE】イベント開始,,
23,【QTE】判定結果表示しない,,,【QTE】判定結果表示しない,,
24,【QTE】ボタン押下受付,,,【QTE】ボタン押下受付,,
25,,,,,,
26,タイマーカウントアップ,,,タイマーカウントアップ,,
27,タイマー非表示,,,タイマー非表示,,
28,,,,,,
29,★並列画面ずらし,,,★並列画面ずらし,,
30,★並列主人公フォーカス,,,★並列主人公フォーカス,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,■↓山田枠↓■,,,■↓山田枠↓■,,
62,車内縦揺れ,,,車内縦揺れ,,
63,並列停止,,,並列停止,,
64,並列開始,,,並列開始,,
65,★しゃがみフラグ,,,★しゃがみフラグ,,
66,★立ってるフラグ,,,★立ってるフラグ,,
67,マップイベ終了フラグ,,,マップイベ終了フラグ,,
68,hanyoSwitch1,,,hanyoSwitch1,,
69,hanyoSwitch2,,,hanyoSwitch2,,
70,hanyoSwitch3,,,hanyoSwitch3,,
71,hanyoSwitch4,,,hanyoSwitch4,,
72,hanyoSwitch5,,,hanyoSwitch5,,
73,ミニゲ終了フラグ,,,ミニゲ終了フラグ,,
74,２話広場開始,,,２話広場開始,,
75,コマンド移動F,,,コマンド移動F,,
76,コマンド敵選ぶF,,,コマンド敵選ぶF,,
77,コマンド味方選ぶF,,,コマンド味方選ぶF,,
78,コマンド会心一撃F,,,コマンド会心一撃F,,
79,豪遊スイッチ,,,豪遊スイッチ,,
80,操作禁止,,,操作禁止,,
81,■↓くらむぼん枠↓■,,,■↓くらむぼん枠↓■,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
