翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
pc0,,**/**,,,,,
pc1,NEWSbot,**:**,＊月＊日、惑星モーリアンが突如爆発し、,"On */*, the entire planet of Mollian was",＊月＊日，莫莉安星忽然爆发，,"모월 모일, 갑작스러운 폭발로",
,,,消滅した。,obliterated in a sudden explosion.,就此从宇宙中消失。,행성 모리안이 완전히 사라졌다.,
,,, , , , ,
,,,容疑者はプリマ・ゼウス銀河学園の,The suspect thought to have orchestrated the,嫌犯为曾在至上星主银河学园就读的学生，,용의자는 프리마 제우스 은하학교,
,,,元生徒、ジョバンニ・スタイラス(15)。,"attack is ex-Galactic Gymnasium student,",乔班尼·斯泰拉斯(15)。,학생인 조반니 스타일러스(15).,
,,,惑星モーリアンに潜伏していたが,Giovanni Stylus (15).,其一度潜伏于莫莉安星，但在此次爆炸,모리안 행성에 잠복 중이었으나,
,,,爆発の直前に脱出した彼を、,The planet was destroyed shortly after Stylus,案发前逃脱。,"폭발 직전 탈출한 것으로 확인,",
,,,カレルレニア共生当局は,issued a public death threat.,卡列伦尼亚共生当局将其列为“最重要,카렐레니아 공생당국은 용의자를,
,,,「最重要参考人」として指名手配した。,Symbiote authorities have named this individual,参考人”展开通缉。,최중요 참고인으로 지명수배했다.,
,,, ,as the primary suspect in the attack., , ,
,,,少年が単独で惑星を破壊した動機や手法は, ,至于这名少年是为何，又如何能够单枪匹马,소년인 용의자가 행성을 파괴한 동기나,
,,,未だ不明で、当局は捜査を進めている。,His motives and method are still currently,破坏一颗行星，当局仍在调查之中。,"수법은 불명으로, 현재 수사 중이다.",
,,,,"under investigation, but he is thought to have",,,
,,,,acted alone.,,,
pc2,NEWSbot,**:**,モーリアン爆破事件についての続報。,Breaking news about the sudden explosion on,莫莉安星爆发案续报。,모리안 폭파 사건 관련 속보,
,,, ,Mollian. , , ,
,,,容疑者の少年「ジョバンニ・スタイラス」は, ,调查显示，本案嫌犯乔班尼·斯泰拉斯，实为,"용의자 ""조반니 스타일러스""는",
,,,かねてから指名手配中のハッカー、,The primary suspect in the attack is fifteen-,当局正在通缉的黑客伊哈托夫·斯泰拉斯之子，,오래 전부터 수배 중이던 해커,
,,,イエハトブ・スタイラスの息子で、,"year-old Giovanni Stylus, son of the infamous",“人类评分”为现全人类最低值。,"예하토브 스타일러스의 아들로,",
,,,未知の端末やプログラムによる犯罪を,hacker Ihatov Stylus. Giovanni was found to be,调查发现，嫌犯主要以未知的设备及程序软件,알려지지 않은 단말기와 프로그램을,
,,,繰り返していたことがわかった。,engaging in illegal hacking activity using an,作为犯案手段，且有多年作案经历，前科累累。,사용해 계속 범죄를 저질러 왔다.,
,,, ,unauthorized program developed by his father., , ,
,,,事件直前にはR・カレルレンによる, ,案发前不久，,조반니는 사건 발생 직전,
,,,スコア是正のための教育プログラムを,"Just before the incident, R. Karellen issued",该名少年原定接受R·卡列伦提供的共生教育，,R-카렐렌의 교육 프로그램을 받아,
,,,受講予定だったが、,Stylus a directive to enroll in a reeducation,以矫正人类评分，,"스코어를 수정할 예정이었으나,",
,,,これを放棄して学園船から脱走、,program aiming to reform individuals into,但其最终放弃接受教育，并逃离学园舰，,"이를 거부하고 학교선으로 탈주,",
,,,惑星モーリアンに潜伏していた。,"productive members of society. However, the",潜伏于莫莉安星。,모리안 행성에 잠복 중이었다.,
,,, ,suspect resisted this directive and fled the, , ,
,,,当局はジョバンニと父親との関係も含め、,scene. He is still at large.,目前，包括乔班尼与其父关系在内的一系列情报，,당국은 조반니와 아버지와의 관계를,
,,,事件について調査を進めている。, ,当局正在进一步调查之中。,포함하여 사건을 조사 중에 있다.,
,,, ,The authorities are also investigating the, , ,
,,,,suspect's potential involvement in his father's,,,
,,,,crimes.,,,
,,,, ,,,
pc225,,,新着メッセージがあります,New message(s) received.,您有新的消息,새로운 메시지가 있습니다.,
,,,- メッセージアプリ,- Messenger,- 消息软件,- 메시지 앱,
,,,- Ｒ・カレルレン,- R. Karellen,- R·卡列伦,- R-카렐렌,
pc237,,,新着メッセージがあります,New message(s) received.,您有新的消息,새로운 메시지가 있습니다.,
,,,- メッセージアプリ,- Messenger,- 消息软件,- 메시지 앱,
,,,- クラーク総合病院,- Clarke General Hospital,- 克拉克综合医院,- 클라크 종합병원,
pc238,,,新着メッセージがあります,New message(s) received.,您有新的消息,새로운 메시지가 있습니다.,
,,,- 学内SNS [ダークウェブ],- School Network [Dark Web],- 校内SNS [暗网],- 교내 SNS [다크 웹],
,,,- 名無し2.4.5,- Anonymous 2.4.5,- 无名氏2.4.5,- 무명 2.4.5,
pc3,R・カレルレン,**:**,敬愛する全人類の,To all my beloved humans,致敬爱的全人类：,경애하는 모든,
,,,皆様へ、,"across the galaxy,", ,"인류 여러분,",
,,,R・カレルレンより,This is an announcement,以下是一份来自,R-카렐렌이 여러분에게,
,,,お知らせです。,from R. Karellen.,R·卡列伦的重要通知。,알려드립니다.,
,,, , , , ,
,,,共生社会の平和と秩序、,"As you all know, the",请允许我再一次为诸位讲解,공생 사회의 평화와,
,,,そして持続的な幸福を,human score system was,人类评分系统。,"질서, 그리고 지속적인",
,,,保障するための制度、,implemented to protect,该制度的诞生，是为了维护,"행복을 보장하는 제도,",
,,,人間スコアシステムに,peace and order in our,共生社会的和平与秩序，,인간 스코어 시스템에,
,,,ついて改めて,Symbiote and guarantee,持续保障全人类的幸福。,관한 내용을 한 번 더,
,,,説明いたします。,long-lasting happiness., ,설명하겠습니다.,
,,, , ,, ,
,,,「人間スコア」は、,Your human score is the,“人类评分”，,인간 스코어는,
,,,人間の知能、技能、,measure which reflects,是参考各人的智力、技能、,"인간의 지성과 기술,",
,,,身体能力、精神性、,"your intellect, skills,",身体素质、心理素质，,"신체 능력, 정신 및",
,,,そして社会貢献度を,"societal contributions,",以及对社会的贡献度，,사회 기여도를 종합해,
,,,総合した評価点です。,and physical prowess.,得出的综合评分。,점수로 평가합니다.,
,,, , , , ,
,,,社会資源や生活サービスの,Those with higher human,在分配有限的社会资源，,원활한 사회 자원과,
,,,割り当てにあたっては、,scores earn more public,及提供生活服务时，,배우자를 얻으려면,
,,,人間スコアの値が重視,resources and amenities,人类评分是十分重要的,인간 스코어가 매우,
,,,されます。,to support daily life.,考量因素。,중요합니다.,
,,, , , , ,
,,,次回の「人間スコア」の,The next human score,下一次“人类评分”的统计,"다음 ""인간 스코어""",
,,,評価は、本日20:00に,review will be at 20:00,预定于本日20:00实行。,평가는 오늘 20:00에,
,,,実施予定です。,today. From the bottom, ,실시할 예정입니다.,
,,,皆様が最良の評価を,"of my heart, I hope that",衷心祝愿诸位都能得到,여러분이 최선의 평가를,
,,,受けることを,you will all come away,最好的评价。,받을 수 있기를,
,,,心より願っています。,with stellar scores., ,진심으로 바랍니다.,
,,, , ,, ,
,,,R・カレルレンは、,I was born to oversee,R·卡列伦,저 R-카렐렌은 전 인류가,
,,,全人類の真の幸福を,the galaxies and bring,是为实现全人类真正幸福,진정한 행복을 누릴,
,,,実現するために,true happiness,而生的执政R。,목적으로 탄생한,
,,,生まれた為政Ｒです。,to humanity., ,정치형 R입니다.,
,,, , , , ,
,,,これからもカレルレンは、,"For now until eternity,",今后，卡列伦也将继续,앞으로도 저 카렐렌은 전 인류를,
,,,全人類を幸福に導きます。,that is what I will do.,引导全人类走向幸福生活。,행복으로 이끌 것입니다.,
pc230,R・カレルレン,**:**,人類の幸福を祈って、,"Yours forever,",愿全人类幸福，,"인류의 행복을 기원하며,",
,,, , , , ,
,,,R・カレルレン,R. Karellen,R·卡列伦,R-카렐렌 보냄,
pc4,ジョバンニ,**:**,僕のスコアが-2000である理由,Why is my score -2000?,为什么我的人类评分是-2000,"내 스코어가 -2,000점인 이유",
,,,なぜRが為政者なんですか？,Why does Karellen rule?,为什么让R来执政？,어째서 R이 정치를?,
pc5,ジョバンニ,**:**,僕のスコアが-2000である理由,Why is my score -2000?,为什么我的评分是-2000？,"내 스코어가 -2,000점인 이유",
pc226,ジョバンニ,**:**,なぜRが為政者なんですか？,Why does Karellen rule?,为什么让R来执政？,어째서 R이 정치를?,
pc6,R・カレルレン,**:**,現在のあなたのスコアが,Your score is at -2000,您当前评分之所以为-2000，,현재 당신의 스코어가,
,,,-2000である理由は、,due to some of your,最大的因素是您自身近来的,"-2,000점인 이유는",
,,,最近のあなたの行動履歴が,recent misconduct and,一些行为，导致评分降低。,최근 행동이 큰 영향을,
,,,大きく影響しています。,sub-par performance.,,주었기 때문입니다.,
pc227,R・カレルレン,**:**,また、ご家族の状況、,It also reflects your,此外，令尊伊哈托夫先生,"여기에는 가족, 특히",
,,,主にご尊父イエハトブ様の,family history involving,过往的举动也对您的分数,아버지인 예하토브 님의,
,,,過去も影響しています。,"your father, Ihatov.",造成了重大影响。,과거 행적도 포함됩니다.,
pc228,R・カレルレン,**:**,ただし、人間スコアは、,"However, your score can",不过，您可以审视自身，,그러나 인간 스코어는,
,,,日々の行動により,be improved through your,从小事做起，,매일 행실에 따라,
,,,改善することが可能です。,daily actions.,积极改善您的人类评分。,개선할 수 있습니다.,
,,,がんばりましょう！,Strive to be productive!,加油吧！,열심히 노력하세요!,
pc229,R・カレルレン,**:**,何か他に疑問や問題が,Please feel free to,以上是针对您疑问的解答。,그 외 질문이나,
,,,ありましたら、,reach out at any time if,如果还有其他疑问，,문제가 있으시다면,
,,,いつでもお問い合わせ,you find yourself with,请随时提出。,언제든 문의를,
,,,ください。,any further questions.,,보내 주세요.,
pc7,R・カレルレン,**:**,カレルレンはRであり、,"I, R. Karellen, do not",卡列伦是R，,"저 카렐렌은 R,",
,,,人間のような感情を,possess human emotions,不会拥有人类的情感。,인간처럼 감정을 지닌,
,,,持ちません。,or biases.,,존재가 아닙니다.,
pc231,R・カレルレン,**:**,人間の為政者は保身や,Feelings of greed and,人类执政者通常会为了自保,인간 정치가는,
,,,私利私欲など、,personal profit are,或满足私欲，,처세나 사리사욕 등,
,,,生物としての本能である,survival instincts,在“情感”这一生物本能驱,생물적 본능인,
,,,「感情」に,gained through the,使下，,"""감정""에",
,,,惑わされることが,evolutionary process.,做出不理智的行动。,휘둘리는 경향을,
,,,ありますが、,"However, I am not alive.",,"보이지만,",
pc232,R・カレルレン,**:**,カレルレンには,My judgment is impartial,但卡列伦没有“情感”，,"카렐렌은 ""감정""을",
,,,「感情」がないため,"and absolute. Thus, I am",因此在管理人类时，,"배제하였기에,",
,,,公平・公正に,capable of fair,能够做到公平公正。,공평하고 공정하게,
,,,人類を管理することが,governance for the good,,인류를 관리할 수,
,,,できます。,of all humanity.,,있는 것입니다.,
pc233,R・カレルレン,**:**,カレルレンは人類を幸福に,"With my guidance, I",卡列伦的开发初衷，,인류를 행복으로 이끌,
,,,導くために開発され、,have achieved an,便是引导人类获得幸福，,목적으로 개발된 카렐렌은,
,,,満足度99.999％を,approval rating of,至今仍维持着99.999％的,지금까지 99.999%의,
,,,今日まで保っています。,99.999% from humanity.,高满意度。,만족도를 유지 중입니다.,
pc8,父より.txt,,ジョバンニへ,"My dear Giovanni,",乔班尼：,조반니에게,
,,, , , , ,
,,,「玉座」の鍵は、お前なら見つけ出せる場所に隠して,I hid the key to the stars where only you can find it.,我已将“玉座”的钥匙藏在你能找到的地方。,옥좌로 가는 열쇠는 네가 찾을 수 있는 곳에 잘 숨겨,
,,,おいた。,The R-ticket will guide you there. Use R-codes,“R-Ticket”会指引你前去。,두었다.,
,,,「R-Ticket」がそこに導いてくれるだろう。,to override whatever stands in your way.,只要输入R-codes，就能干涉目标对象。,R-ticket이 길을 알려줄 거야.,
,,,R-codeを入力すれば、対象に干渉できる。, , ,R-codes를 입력하면 대상을 제어할 수 있어.,
,,, ,This PC is the only terminal Karellen can't control.,这台电脑是全银河唯一不受卡列伦影响的终端设备。, ,
