翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
ho_qteup,PUSH! UP KEY!,PRESS UP!,PUSH! UP KEY!,PUSH! UP KEY!,
ho_qtedown,PUSH! DOWN KEY!,PRESS DOWN!,PUSH! DOWN KEY!,PUSH! DOWN KEY!,
ho_qteleft,PUSH! LEFT KEY!,PRESS LEFT!,PUSH! LEFT KEY!,PUSH! LEFT KEY!,
ho_qteright,PUSH! RIGHT KEY!,PRESS RIGHT!,PUSH! RIGHT KEY!,PUSH! RIGHT KEY!,
ho_qte1,SUCCESS!!!!!!!!!!!!!!!!!!!!!,SUCCESS!!!,SUCCESS!!!!!!!!!!!!!!!!!!!!!,성공!!!!!!!!!!!!!!!!!!!!!,
ho_qte2,FAILED...,FAILED...,FAILED...,실패...,
ho499,顔アイコンクリック／C　：　相談,Chat: Select Face Icon or press C,点击头像图标／C　　　　：　商谈,얼굴 아이콘 클릭/C: 대화,
ho500,さっさと逃げようぜ！,We're making a break for it!,赶快逃命吧！,빨리 뜨자니까!,
,追いかけっこなんだから！,"Think of it as a game of tag, but deadly!",毕竟这是鬼抓人！,이건 술래잡기라고!,
ho501,う、うん……,That isn't very comforting…,啊，好……,"그, 그래……",
,\C[1]（ついていっていいの、かな……？）,\C[1](Can I really trust this guy?),\C[1]（我可以跟着他走吗……？）,\C[1](따라가는 게 맞나……?),
ho502,エントランスはあっちの通路の先だ！,The exit is just down that hall!,那条路跑到尽头，就到门厅了！,입구는 저 통로 끝에 있어!,
,ほら、走らないと捕まるぞ！,"Whatever you do, just keep running!",快快快，再不跑会被追上哦！,"어서, 안 뛰면 잡힐 거야!",
ho503,捕まったらミンチにされるぞ。,Unless you wanna end up as mince-meat!,一被抓到就会变成肉泥，不会跟你客气的。,잡히면 다진 고기가 될 걸.,
,ドキドキするだろ？,"Heh! Really gets your blood pumping, huh?",怎么样，是不是很刺激？,두근거리지 않아?,
ho504,\C[1]（なんで楽しそうなんだ……？）,\C[1](He's laughing… Is this guy for real?),\C[1]（这家伙干嘛这么兴奋……？）,\C[1](왜 즐거워 하는 거야……?),
ho505,……………, … ,……………,…………,
ho506,\C[1]（ザネリ……）,\C[1](…Zanelli.),\C[1]（札内利……）,\C[1](자넬리……),
ho507,おい、そいつにあんまり近寄るなよ！,"Hey! Don't get too close, now!",喂，别靠那家伙太近！,"이봐, 너무 가까이 다가가지 말라고!",
,カレルレンに洗脳されてる人間は危険だからな。,Those brainwashed humans are bad news.,被卡列伦洗脑的人类都很危险。,카렐렌에게 세뇌 당한 인간은 위험해.,
ho507_sa,そいつにあんまり近寄るなよ！,"Don't get too close, now!",别靠那家伙太近！,너무 가까이 다가가지 말라고!,
,カレルレンに洗脳されてる人間は危険だからな。,Those brainwashed humans are bad news.,被卡列伦洗脑的人类都很危险。,카렐렌에게 세뇌 당한 인간은 위험하니까.,
ho507a,友達を傷つける羽目に,Don't want to get blamed if someone ends,万一有状况，,너도 친구에게,
,なるのは嫌だろ？,"up getting hurt, do you?",你也不想伤害朋友吧？,상처를 주는 건 싫지?,
ho508,洗脳……,Brainwashed…?,洗脑……,세뇌……,
ho509,おい、近づくなよ！,Whoa! I said watch where you're going!,喂，别凑过去啊！,"이봐, 가까이 가지 말라니까!",
,追いかけっこのルール知らないのか？,"Sheesh, haven't you played tag before?",你不知道鬼抓人要怎么玩吗？,술래잡기 규칙 몰라?,
,こいつから逃げるんだ！,We have to run from that thing!,我们得逃离这个家伙！,놈에게서 도망치라고!,
ho510,掃除Rの残骸……これ全部,This debris… These are Clean-Rs.,清洁R的残骸……,청소 R의 잔해네……,
,君がやったのか？,…Did you do all of this?,这些全都是你干掉的吗？,전부 네 짓이야?,
ho511,もちろん！　すごいだろ？,"Sure did. Not bad, right?",当然啦！厉害吧？,그럼! 정말 대단하지?,
,楽しかったぜ！,I had a blast!,我玩得可开心了！,즐거웠어!,
ho512,\C[1]（助かるけど……,"\C[1](That guy saved me back there,",\C[1]（虽然帮了大忙……,\C[1](덕분에 살았지만……,
,　歩きにくいな）,but it's still hard to walk…),但这路好难走啊）,걷기 힘들잖아),
ho513,さあ行こうか！,"Let's get going, shall we?",行了，走吧！,"그럼, 갈까!",
ho514,\C[1]（一瞬で片付いた……）,"\C[1](Whoa, that was quick.)",\C[1]（瞬间收拾干净了……）,\C[1](순식간에 처리했어…..),
ho514-2,……集まって道を塞いでいるようだ。,Rs are blocking the way forward.,……它们聚在一起，堵住了通道。,…..길을 가로막듯 모여 있다.,
ho514-3,どうしよう、これ……,What are we gonna do…?,这怎么办啊……,이거 어쩌지……,
ho515,……うーん。,Hmmm…,嗯……,음...… 이것들을 전부,
,この量を殺すのはちょっと面倒だな……,Taking out this many is tough—even for me.,杀掉这么一大堆有点麻烦……,처리하려면 좀 귀찮겠는걸……,
ho516,なあ、おまえ。,"Hey, my guy.",喂。,"이봐, 너.",
,こいつら、どうにかできないか？,Be a pal and take care of them for me.,你能不能想点办法？,"저 녀석들, 어떻게 안 될까?",
ho517,え。僕？,Huh? ME?,啊？我？,뭐? 내가?,
,なんで僕が……,Why me?,为什么是我……,어째서 내가……,
ho518,なんとなくさ。,Let's just say I've got the feeling you,就是觉得你行。,할 수 있을 것 같아서 말이야.,
