翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
hi0001,AE1204年　はくちょう座β星近郊　E3952星系,Сигнус Бета - Звёздная Система E392 (1204 AE),AE1204年　天鹅座β星近郊　E3952星系,"AE 1204년, 백조자리 β성 근처, E3952 성계",
,宇宙船　プリマ・ゼウス銀河学園（ギムナジウム）,"Галактическая Академия ""(Гимназия)"" Прима Зевс",至上星主银河学园太空舰（Gymnasium）,우주선 프리마 제우스 은하학교(감나지움),
hi0001a,……, …,……,……,
hi0002,ふう、,Фух…,呼……,휴.,
hi0003,こんなもんだな。,Это было не так уж и плохо.,差不多就这样吧。,이 정도는 쉽지.,
,意思のないセキュリティなんて怖くないね。,"Получи, тупая система безопасности.",没有思想的安保系统没什么好怕的。,의사가 없는 보안은 별 거 아니야.,
hi0004,スタイラス様、,Мистер Стайлус.,斯泰拉斯同学，,스트라토스 님.,
,授業の開始まであと５分です。,Урок начнётся через пять минут.,您的课程将在5分钟后开始。,5분 뒤에 수업을 시작합니다.,
hi0004a,AR教室へお急ぎください。,"Пожалуйста, немедленно пройдите",请尽快前往AR教室。,서둘러 AR 교실로 이동하십시오.,
, ,"в AR-класс.", , ,
hi0005,！,!,！,…!,
hi0006,わ、分かったよ。,"Д-Да, хорошо.",知、知道了。,"아, 알았어.",
hi0007,……教室、行くか。,Лучше пойду на урок…,……去教室吧。,……교실로 갈까.,
hi0008,学園で人気な地球式スポーツ、,Многие в этой школе играют в баскетбол.,地球式体育项目“篮球运动”使用的球，,"학교에서 인기가 많은 지구제 스포츠,",
,バスケットボールの球だ。材質を変化させたり、,Этот мяч может менять форму и,在学校很受欢迎。这种球不但可以随意改变材质，,농구에 쓰는 공이다. 재질을 바꾸거나,
,任意の目標に向かって跳ねる機能がついている。,даже отскакивать сам по себе.,还能指挥它飞向任意目标。,무작위 목표를 향해 튀는 기능이 있다.,
hi0009,……, …,……,……,
hi0010,ザネリの机だ。,Стол Занелли.,札内利的桌子。,자넬리의 책상이다.,
,とても散らかっている。,Тут такой бардак.,非常乱。,매우 어수선하다.,
hi0011,\C[1]（お菓子にゲーム。……,"\C[1](Снэки, игры... Мне никогда такого",\C[1]（有零食，还有游戏。,"\C[1](과자, 게임기…… 내 스코어로는",
,　僕のスコアじゃ買えないものばかりだ）,не достаётся. Не с моим-то баллом.),……净是些我的评分买不了的东西）,구할 수 없는 물건 뿐이네),
hi0012,\C[1]（……ザネリ。,\C[1](Занелли... Его отец командует,\C[1]（……札内利。,\C[1](자넬리는......,
,カレルレン直属部隊「紅友隊」,"спецотрядом Кареллен, РЭД. Мы",他是卡列伦直属部队“红友队”,"카렐렌 직속 부대 ""홍우대"" 단장",
,隊長の息子で、僕の幼馴染だ）,"дружили, когда были маленькими.)",队长的儿子，跟我从小认识）,"아들이자, 내 소꿉친구기도 해.)",
hi0013,\C[1]（あいつも、昔は僕と似たスコアで……,\C[1](Тогда у нас были похожие баллы.,\C[1]（当初我们的评分差不多……,"\C[1](그 녀석, 예전에는 스코어도 비슷해",
,　近所に住んでたのに、,Даже жили в одном районе…,住得也近。,"우리집 근처에서 살았는데,",
,　「あの日」の直前に――いなくなった。,"Но прямо перед ""тем днём""… он исчез.)",可他……却在“那一天”前不久失踪。,새 부모가 생겼다는 말만 남긴 채,
hi0014,\C[1]　新しい親ができた、とだけ言い残して）,"\C[1](Сказал, что его усыновили, и всё.)",\C[1]　只留下一句“我有新爸妈了”）,"\C[1]""그 날"" 직전 갑자기 모습을 감췄지)",
hi0015,\C[1]（……再会したのは、,"\C[1](Я так и не видел его, пока",\C[1]（……再次见到他，,\C[1](……에밀 씨의 권유를 받아,
,　エーミールさんの薦めで,не поступил в Галактическую Гимназию,是在埃米尔会长的推荐下，,이 은하학교에 입학하면서,
,　ギムナジウムに入ってからだ）,по рекомендации Эмиля.),进入银河学园之后）,다시 만날 수 있었어),
hi0016,\C[1]（再会したあいつは……,"\C[1](Когда мы встретились вновь, его",\C[1]（本想着久别重逢……,\C[1](다시 만났을 때 그 녀석은……,
