翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
pc0,,**/**,,,,,
pc1,NEWSbot,**:**,＊月＊日、惑星モーリアンが突如爆発し、,*/* числа вся планета Моллиан была,＊月＊日，莫莉安星忽然爆发，,"모월 모일, 갑작스러운 폭발로",
,,,消滅した。,уничтожена внезапным взрывом.,就此从宇宙中消失。,행성 모리안이 완전히 사라졌다.,
,,, , , , ,
,,,容疑者はプリマ・ゼウス銀河学園の,"Подозреваемым, который, как предполагается,",嫌犯为曾在至上星主银河学园就读的学生，,용의자는 프리마 제우스 은하학교,
,,,,"организовал атаку, является бывший студент",，, ,
,,,元生徒、ジョバンニ・スタイラス(15)。,"Галактической Академии, Джованни",乔班尼·斯泰拉斯(15)。,학생인 조반니 스타일러스(15).,
,,,惑星モーリアンに潜伏していたが,Стайлус (15 лет). Планета была уничтожена,其一度潜伏于莫莉安星，但在此次爆炸,모리안 행성에 잠복 중이었으나,
,,,爆発の直前に脱出した彼を、,"вскоре после того, как Стайлус",案发前逃脱。,"폭발 직전 탈출한 것으로 확인,",
,,,カレルレニア共生当局は,выступил с публичной угрозой расправы.,卡列伦尼亚共生当局将其列为“最重要,카렐레니아 공생당국은 용의자를,
,,,「最重要参考人」として指名手配した。,Власти Симбиота назвали этого индивида,参考人”展开通缉。,최중요 참고인으로 지명수배했다.,
,,, ,главным подозреваемым в данной атаке., , ,
,,,少年が単独で惑星を破壊した動機や手法は, ,至于这名少年是为何，又如何能够单枪匹马,소년인 용의자가 행성을 파괴한 동기나,
,,,未だ不明で、当局は捜査を進めている。,Его мотивы и метод всё ещё,破坏一颗行星，当局仍在调查之中。,"수법은 불명으로, 현재 수사 중이다.",
,,,,"расследуются, но предполагается, что он",,,
,,,,действовал в одиночку.,,,
pc2,NEWSbot,**:**,モーリアン爆破事件についての続報。,Срочные новости о внезапном взрыве на,莫莉安星爆发案续报。,모리안 폭파 사건 관련 속보,
,,, ,Моллиане. , , ,
,,,容疑者の少年「ジョバンニ・スタイラス」は, ,调查显示，本案嫌犯乔班尼·斯泰拉斯，实为,"용의자 ""조반니 스타일러스""는",
,,,かねてから指名手配中のハッカー、,Главным подозреваемым в атаке является пятнадцати-,当局正在通缉的黑客伊哈托夫·斯泰拉斯之子，,오래 전부터 수배 중이던 해커,
,,,イエハトブ・スタイラスの息子で、,"летний Джованни Стайлус, сын печально известного",“人类评分”为现全人类最低值。,"예하토브 스타일러스의 아들로,",
,,,未知の端末やプログラムによる犯罪を,"хакера Ихатова Стайлуса. Установлено, что Джованни",调查发现，嫌犯主要以未知的设备及程序软件,알려지지 않은 단말기와 프로그램을,
,,,繰り返していたことがわかった。,"занимался незаконной хакерской деятельностью, используя",作为犯案手段，且有多年作案经历，前科累累。,사용해 계속 범죄를 저질러 왔다.,
,,, ,"неавторизованную программу, разработанную его отцом.", , ,
,,,事件直前にはR・カレルレンによる, ,案发前不久，,조반니는 사건 발생 직전,
,,,スコア是正のための教育プログラムを,Незадолго до инцидента Р. Кареллен издал,该名少年原定接受R·卡列伦提供的共生教育，,R-카렐렌의 교육 프로그램을 받아,
,,,受講予定だったが、,"Стайлусу директиву о зачислении на программу перевоспитания,",以矫正人类评分，,"스코어를 수정할 예정이었으나,",
,,,これを放棄して学園船から脱走、,целью которой является превращение индивидов в,但其最终放弃接受教育，并逃离学园舰，,"이를 거부하고 학교선으로 탈주,",
,,,惑星モーリアンに潜伏していた。,продуктивных членов общества. Однако,潜伏于莫莉安星。,모리안 행성에 잠복 중이었다.,
,,, ,подозреваемый воспротивился этой директиве и скрылся с, , ,
,,,当局はジョバンニと父親との関係も含め、,места происшествия. Он всё ещё в бегах.,目前，包括乔班尼与其父关系在内的一系列情报，,당국은 조반니와 아버지와의 관계를,
,,,事件について調査を進めている。, ,当局正在进一步调查之中。,포함하여 사건을 조사 중에 있다.,
,,, ,Власти также расследуют, , ,
,,,,возможную причастность подозреваемого к преступлениям его,,,
,,,,отца.,,,
,,,, ,,,
pc225,,,新着メッセージがあります,Поступили новые сообщения.,您有新的消息,새로운 메시지가 있습니다.,
,,,- メッセージアプリ,- Мессенджер,- 消息软件,- 메시지 앱,
,,,- Ｒ・カレルレン,- Р. Кареллен,- R·卡列伦,- R-카렐렌,
pc237,,,新着メッセージがあります,Поступили новые сообщения.,您有新的消息,새로운 메시지가 있습니다.,
,,,- メッセージアプリ,- Мессенджер,- 消息软件,- 메시지 앱,
,,,- クラーク総合病院,- Госпиталь Кларка,- 克拉克综合医院,- 클라크 종합병원,
pc238,,,新着メッセージがあります,Поступили новые сообщения.,您有新的消息,새로운 메시지가 있습니다.,
,,,- 学内SNS [ダークウェブ],- Школьная Сеть [Dark-Web],- 校内SNS [暗网],- 교내 SNS [다크 웹],
,,,- 名無し2.4.5,- Аноним 2.4.5,- 无名氏2.4.5,- 무명 2.4.5,
pc3,R・カレルレン,**:**,敬愛する全人類の,Всем моим любимым людям,致敬爱的全人类：,경애하는 모든,
,,,皆様へ、,"по всей галактике,", ,"인류 여러분,",
,,,R・カレルレンより,Это объявление,以下是一份来自,R-카렐렌이 여러분에게,
,,,お知らせです。,от Р. Кареллена.,R·卡列伦的重要通知。,알려드립니다.,
,,, , , , ,
,,,共生社会の平和と秩序、,"Как вы все знаете,",请允许我再一次为诸位讲解,공생 사회의 평화와,
,,,そして持続的な幸福を,система человеческого балла была,人类评分系统。,"질서, 그리고 지속적인",
,,,保障するための制度、,"внедрена, чтобы защищать",该制度的诞生，是为了维护,"행복을 보장하는 제도,",
,,,人間スコアシステムに,мир и порядок в нашем,共生社会的和平与秩序，,인간 스코어 시스템에,
,,,ついて改めて,Симбиоте и гарантировать,持续保障全人类的幸福。,관한 내용을 한 번 더,
,,,説明いたします。,продолжительное счастье., ,설명하겠습니다.,
,,, , ,, ,
,,,「人間スコア」は、,Ваш человеческий балл — это,“人类评分”，,인간 스코어는,
,,,人間の知能、技能、,"показатель, который отражает",是参考各人的智力、技能、,"인간의 지성과 기술,",
,,,身体能力、精神性、,"ваш интеллект, навыки,",身体素质、心理素质，,"신체 능력, 정신 및",
,,,そして社会貢献度を,"вклад в общество,",以及对社会的贡献度，,사회 기여도를 종합해,
,,,総合した評価点です。,и физическую мощь.,得出的综合评分。,점수로 평가합니다.,
,,, , , , ,
,,,社会資源や生活サービスの,"Те, чей человеческий балл",在分配有限的社会资源，,원활한 사회 자원과,
,,,割り当てにあたっては、,"выше, получают больше общественных",及提供生活服务时，,배우자를 얻으려면,
,,,人間スコアの値が重視,ресурсов и благ,人类评分是十分重要的,인간 스코어가 매우,
,,,されます。,для поддержания повседневной жизни.,考量因素。,중요합니다.,
,,, , , , ,
,,,次回の「人間スコア」の,Следующий пересмотр человеческого,下一次“人类评分”的统计,"다음 ""인간 스코어""",
,,,評価は、本日20:00に,балла состоится в 20:00,预定于本日20:00实行。,평가는 오늘 20:00에,
,,,実施予定です。,сегодня. От всего, ,실시할 예정입니다.,
,,,皆様が最良の評価を,"сердца я надеюсь, что",衷心祝愿诸位都能得到,여러분이 최선의 평가를,
,,,受けることを,все вы получите,最好的评价。,받을 수 있기를,
,,,心より願っています。,блестящие результаты., ,진심으로 바랍니다.,
,,, , ,, ,
,,,R・カレルレンは、,"Я рождён, чтобы курировать",R·卡列伦,저 R-카렐렌은 전 인류가,
,,,全人類の真の幸福を,галактики и нести,是为实现全人类真正幸福,진정한 행복을 누릴,
,,,実現するために,истинное счастье,而生的执政R。,목적으로 탄생한,
,,,生まれた為政Ｒです。,человечеству., ,정치형 R입니다.,
,,, , , , ,
,,,これからもカレルレンは、,"Отныне и навеки,",今后，卡列伦也将继续,앞으로도 저 카렐렌은 전 인류를,
,,,全人類を幸福に導きます。,именно это я и буду делать.,引导全人类走向幸福生活。,행복으로 이끌 것입니다.,
pc230,R・カレルレン,**:**,人類の幸福を祈って、,"Навеки ваш,",愿全人类幸福，,"인류의 행복을 기원하며,",
,,, , , , ,
,,,R・カレルレン,Р. Кареллен,R·卡列伦,R-카렐렌 보냄,
pc4,ジョバンニ,**:**,僕のスコアが-2000である理由,Почему мой балл -2000?,为什么我的人类评分是-2000,"내 스코어가 -2,000점인 이유",
,,,なぜRが為政者なんですか？,Почему Кареллен правит?,为什么让R来执政？,어째서 R이 정치를?,
pc5,ジョバンニ,**:**,僕のスコアが-2000である理由,Почему мой балл -2000?,为什么我的评分是-2000？,"내 스코어가 -2,000점인 이유",
pc226,ジョバンニ,**:**,なぜRが為政者なんですか？,Почему Кареллен правит?,为什么让R来执政？,어째서 R이 정치를?,
pc6,R・カレルレン,**:**,現在のあなたのスコアが,Ваш балл составляет -2000,您当前评分之所以为-2000，,현재 당신의 스코어가,
,,,-2000である理由は、,из-за некоторых ваших,最大的因素是您自身近来的,"-2,000점인 이유는",
,,,最近のあなたの行動履歴が,недавних проступков и,一些行为，导致评分降低。,최근 행동이 큰 영향을,
,,,大きく影響しています。,неудовлетворительных результатов.,,주었기 때문입니다.,
pc227,R・カレルレン,**:**,また、ご家族の状況、,Он также отражает вашу,此外，令尊伊哈托夫先生,"여기에는 가족, 특히",
,,,主にご尊父イエハトブ様の,"семейную историю, связанную с",过往的举动也对您的分数,아버지인 예하토브 님의,
,,,過去も影響しています。,"вашим отцом, Ихатовом.",造成了重大影响。,과거 행적도 포함됩니다.,
pc228,R・カレルレン,**:**,ただし、人間スコアは、,Однако ваш балл может,不过，您可以审视自身，,그러나 인간 스코어는,
,,,日々の行動により,быть улучшен благодаря вашим,从小事做起，,매일 행실에 따라,
,,,改善することが可能です。,ежедневным действиям.,积极改善您的人类评分。,개선할 수 있습니다.,
,,,がんばりましょう！,Стремитесь быть продуктивным!,加油吧！,열심히 노력하세요!,
pc229,R・カレルレン,**:**,何か他に疑問や問題が,"Пожалуйста, не стесняйтесь",以上是针对您疑问的解答。,그 외 질문이나,
,,,ありましたら、,"обращаться в любое время, если",如果还有其他疑问，,문제가 있으시다면,
,,,いつでもお問い合わせ,у вас возникнут,请随时提出。,언제든 문의를,
,,,ください。,какие-либо дальнейшие вопросы.,,보내 주세요.,
pc7,R・カレルレン,**:**,カレルレンはRであり、,"Я, Р. Кареллен, не",卡列伦是R，,"저 카렐렌은 R,",
,,,人間のような感情を,обладаю человеческими эмоциями,不会拥有人类的情感。,인간처럼 감정을 지닌,
,,,持ちません。,или предубеждениями.,,존재가 아닙니다.,
pc231,R・カレルレン,**:**,人間の為政者は保身や,Чувства жадности и,人类执政者通常会为了自保,인간 정치가는,
,,,私利私欲など、,личной выгоды — это,或满足私欲，,처세나 사리사욕 등,
,,,生物としての本能である,"инстинкты выживания,",在“情感”这一生物本能驱,생물적 본능인,
,,,「感情」に,приобретённые в ходе,使下，,"""감정""에",
,,,惑わされることが,эволюционного процесса.,做出不理智的行动。,휘둘리는 경향을,
,,,ありますが、,Однако я не живой.,,"보이지만,",
pc232,R・カレルレン,**:**,カレルレンには,Моё суждение беспристрастно,但卡列伦没有“情感”，,"카렐렌은 ""감정""을",
,,,「感情」がないため,"и абсолютно. Таким образом, я",因此在管理人类时，,"배제하였기에,",
,,,公平・公正に,способен на справедливое,能够做到公平公正。,공평하고 공정하게,
,,,人類を管理することが,правление во благо,,인류를 관리할 수,
,,,できます。,всего человечества.,,있는 것입니다.,
pc233,R・カレルレン,**:**,カレルレンは人類を幸福に,Под моим руководством я,卡列伦的开发初衷，,인류를 행복으로 이끌,
,,,導くために開発され、,достиг,便是引导人类获得幸福，,목적으로 개발된 카렐렌은,
,,,満足度99.999％を,рейтинга одобрения,至今仍维持着99.999％的,지금까지 99.999%의,
,,,今日まで保っています。,99.999% от человечества.,高满意度。,만족도를 유지 중입니다.,
pc8,父より.txt,,ジョバンニへ,"Мой дорогой Джованни,",乔班尼：,조반니에게,
,,, , , , ,
,,,「玉座」の鍵は、お前なら見つけ出せる場所に隠して,"Я спрятал ключ к звёздам там, где лишь ты сможешь его найти.",我已将“玉座”的钥匙藏在你能找到的地方。,옥좌로 가는 열쇠는 네가 찾을 수 있는 곳에 잘 숨겨,
,,,おいた。,"R-тикет укажет тебе путь. Используй R-коды,",“R-Ticket”会指引你前去。,두었다.,
,,,「R-Ticket」がそこに導いてくれるだろう。,"чтобы преодолеть всё, что встанет на твоём пути.",只要输入R-codes，就能干涉目标对象。,R-ticket이 길을 알려줄 거야.,
,,,R-codeを入力すれば、対象に干渉できる。, , ,R-codes를 입력하면 대상을 제어할 수 있어.,
,,, ,"Этот ПК — единственный терминал, который Кареллен не может контролировать.",这台电脑是全银河唯一不受卡列伦影响的终端设备。, ,
,,,このPCは銀河で唯一、カレルレンの影響を受けない端,"Обуздай его мощь и галактика будет твоей.",你现在不懂这意味着什么也没关系，总有一天会懂的。,이 PC는 전 은하에서 카렐렌의 영향을 받지 않는 유일한,
,,,末だ。, , ,기기란다.,
,,,今は意味が分からないと思うが、そのうちわかる。,"Это сбивает с толку, я знаю. Но всё обретёт",想必在将来，你会用它操控整个银河。,"지금은 몰라도, 조만간 알게 될 거야.",
,,, ,"смысл со временем. Храни его в тайне, береги.",但是一定要当心，别让任何人知道这件事。, ,
,,,いつかお前は、これを使って銀河のすべてを操るだろ, , ,너는 언젠가 이 능력으로 은하의 모든 것을 조종하게 될,
,,,う。,Я люблю тебя больше всех звёзд на этом свете.,我爱你胜过银河系的一切。,거야.,
,,,誰にも知られないよう気を付けること。, , ,다른 사람이 눈치채지 않도록 조심하거라.,
,,, ,"Твой отец, Ихатов",伊哈托夫, ,
,,,お前のことを、銀河で一番愛してる。,,,아빠는 이 은하 누구보다 널 사랑한단다.,
,,, ,,, ,
,,,イエハトブ,,,예하토브,
pc9,TODO,,ザネリはしばらく帰ってこない。,Занелли ещё не скоро вернётся.,札内利暂时不会回来。,자넬리는 당분간 돌아오지 않을 거야.,
